"DashDAQ Log File"

"Format:","Simple CSV 1.0.0"
"Filename:","/mmc/logs/log0001.csv"
"Started:","Thu Dec  4 18:19:20 2025"

"Signal","Driver","ID","Name","Units","Description","Color"
0,"a-GenericOBD2","a:10","Speed","kph","Vehicle Speed","#CD0000"
1,"a-GenericOBD2","a:9","RPM","RPM","Engine RPM","#CD0000"
2,"a-GenericOBD2","a:2","ECT","°C","Engine Coolant Temperature","#CD0000"
3,"a-GenericOBD2","a:12","IAT","°C","Intake Air Temperature","#CD0000"
4,"a-GenericOBD2","a:8","MAP","kpa","Intake Manifold Absolute Pressure","#CD0000"
5,"d-zt2","d:1","AFR","","Air/Fuel Ratio","#FFFFFF"

"Time","Speed","RPM","ECT","IAT","MAP","AFR",
"ms","kph","RPM","°C","°C","kpa","",
1263,0,654.000000,86,55,99.0,
1264,0,656.000000,86,55,99.0,
1293,0,655.500000,86,55,99.0,
1294,0,655.500000,86,55,99.0,
1324,0,655.500000,86,55,99.0,
1344,0,651.750000,86,55,100.0,
1364,0,651.750000,86,55,99.0,
1393,0,645.000000,86,55,100.0,
1394,0,645.000000,86,55,100.0,
1424,0,645.000000,86,55,100.0,
1444,0,643.250000,86,55,100.0,
1481,0,643.250000,86,55,100.0,
1505,0,643.000000,86,55,99.0,
1543,0,644.500000,86,55,100.0,
1583,0,641.750000,86,55,100.0,
1614,0,641.750000,86,55,99.0,
1643,0,641.750000,86,55,100.0,
1644,0,642.000000,86,55,100.0,
1683,0,643.750000,86,55,100.0,
1714,0,643.750000,86,55,100.0,
1745,0,652.750000,86,55,99.0,
1783,0,655.750000,86,55,100.0,
1814,0,656.750000,86,55,100.0,
1851,0,656.750000,86,55,99.0,
1880,0,654.750000,86,55,99.0,
1911,0,653.250000,86,55,100.0,
1943,0,654.250000,86,55,100.0,
1981,0,654.250000,86,55,99.0,
2020,0,658.000000,86,55,99.0,
2044,0,656.250000,86,55,100.0,
2083,0,656.250000,86,55,99.0,
2114,0,649.000000,86,55,99.0,
2144,0,641.750000,86,55,100.0,
2183,0,640.750000,86,55,99.0,
2214,0,640.750000,86,55,99.0,
2245,0,642.000000,86,55,99.0,
2281,0,643.250000,86,55,100.0,
2313,0,643.250000,86,55,100.0,
2314,0,643.250000,86,55,100.0,
2345,0,641.750000,86,55,99.0,
2383,0,642.000000,86,55,100.0,
2413,0,646.750000,86,55,100.0,
2414,0,646.750000,86,55,100.0,
2451,0,646.750000,86,55,99.0,
2480,0,654.250000,86,55,100.0,
2523,0,655.750000,86,55,100.0,
2551,0,657.500000,86,55,100.0,
2581,0,657.500000,86,55,99.0,
2610,0,656.000000,86,55,99.0,
2634,0,655.250000,86,55,99.0,
2664,0,655.250000,86,55,99.0,
2684,0,653.000000,86,55,100.0,
2714,0,653.000000,86,55,99.0,
2751,0,655.500000,86,55,100.0,
2783,0,654.750000,86,55,100.0,
2821,0,654.750000,86,55,99.0,
2851,0,649.500000,86,55,99.0,
2881,0,644.750000,86,55,100.0,
2913,0,644.750000,86,55,99.0,
2914,0,644.750000,86,55,99.0,
2950,0,643.250000,86,55,99.0,
2951,0,643.250000,86,55,99.0,
2981,0,644.750000,86,55,99.0,
3011,0,648.000000,86,55,100.0,
3054,0,648.000000,86,55,99.0,
3080,0,647.500000,86,55,99.0,
3104,0,646.750000,86,55,100.0,
3134,0,646.750000,86,55,100.0,
3164,0,650.250000,86,55,100.0,
3184,0,656.000000,86,55,100.0,
3221,0,656.000000,86,55,100.0,
3245,0,656.500000,86,55,99.0,
3246,0,656.500000,86,55,99.0,
3283,0,656.500000,86,55,99.0,
3303,0,656.500000,86,55,99.0,
3304,0,657.250000,86,55,99.0,
3334,0,655.250000,86,55,100.0,
3364,0,655.250000,86,55,99.0,
3394,0,653.500000,86,55,100.0,
3424,0,653.250000,86,55,99.0,
3454,0,653.250000,86,55,99.0,
3484,0,655.250000,86,55,100.0,
3529,0,655.250000,86,55,100.0,
3530,0,652.000000,86,55,100.0,
3554,0,647.250000,86,55,100.0,
3584,0,647.250000,86,55,100.0,
3615,0,642.000000,86,55,100.0,
3651,0,642.000000,86,55,99.0,
3674,0,642.250000,86,55,99.0,
3704,0,644.750000,86,55,100.0,
3733,0,644.750000,86,55,99.0,
3734,0,644.750000,86,55,99.0,
3764,0,646.500000,86,55,99.0,
3791,0,645.500000,86,55,99.0,
3821,0,645.500000,86,55,99.0,
3845,0,648.500000,86,55,100.0,
3863,0,648.500000,86,55,99.0,
3864,0,648.500000,86,55,99.0,
3884,0,653.500000,86,55,100.0,
3923,0,653.500000,86,55,99.0,
3950,0,657.500000,86,55,100.0,
3951,0,657.500000,86,55,100.0,
3974,0,654.750000,86,55,100.0,
4004,0,654.750000,86,55,99.0,
4034,0,655.250000,86,55,99.0,
4054,0,655.250000,86,55,99.0,
4074,0,654.750000,86,55,99.0,
4104,0,654.750000,86,55,99.0,
4134,0,656.500000,86,55,99.0,
4164,0,655.000000,86,55,100.0,
4194,0,655.000000,86,55,99.0,
4224,0,652.000000,86,55,100.0,
4254,0,645.500000,86,55,100.0,
4274,0,645.500000,86,55,99.0,
4304,0,642.250000,86,55,100.0,
4334,0,642.250000,86,55,99.0,
4354,0,640.750000,86,55,100.0,
4374,0,640.750000,86,55,99.0,
4404,0,642.500000,86,55,100.0,
4433,0,642.500000,86,55,100.0,
4434,0,642.500000,86,55,100.0,
4454,0,643.500000,86,55,100.0,
4491,0,643.500000,86,55,100.0,
4515,0,644.750000,86,55,99.0,
4554,0,643.000000,86,55,99.0,
4591,0,649.250000,86,55,100.0,
4623,0,649.250000,86,55,99.0,
4654,0,654.500000,86,55,99.0,
4691,0,656.000000,86,55,100.0,
4723,0,654.500000,86,55,100.0,
4754,0,654.500000,86,55,99.0,
4790,0,656.000000,86,55,100.0,
4823,0,656.500000,86,55,99.0,
4854,0,656.250000,86,55,100.0,
4893,0,656.250000,86,55,99.0,
4924,0,654.250000,86,55,99.0,
4954,0,652.000000,86,55,100.0,
4994,0,652.000000,86,55,99.0,
4995,0,652.000000,86,55,99.0,
5029,0,646.500000,86,55,99.0,
5064,0,642.000000,86,55,99.0,
5091,0,639.750000,86,55,100.0,
5123,0,639.750000,86,55,99.0,
5160,0,641.750000,86,55,100.0,
5193,0,642.250000,86,55,100.0,
5224,0,641.500000,86,55,100.0,
5262,0,641.500000,86,55,99.0,
5290,0,639.750000,86,55,100.0,
5323,0,648.250000,86,55,100.0,
5361,0,648.250000,86,55,99.0,
5390,0,653.750000,86,55,99.0,
5421,0,655.750000,86,55,100.0,
5443,0,655.750000,86,55,99.0,
5444,0,655.750000,86,55,99.0,
5490,0,654.000000,86,55,99.0,
5530,0,654.000000,86,55,100.0,
5560,0,655.000000,86,55,100.0,
5591,0,656.250000,86,55,100.0,
5627,0,656.250000,86,55,99.0,
5660,0,652.000000,86,55,100.0,
5693,0,647.750000,86,55,100.0,
5724,0,647.750000,86,55,99.0,
5761,0,644.750000,86,55,99.0,
5791,0,645.500000,86,55,100.0,
5823,0,645.500000,86,55,99.0,
5824,0,645.500000,86,55,99.0,
5860,0,647.500000,86,55,99.0,
5891,0,655.750000,86,55,100.0,
5923,0,660.500000,86,55,100.0,
5961,0,660.500000,86,55,100.0,
5985,0,660.500000,86,55,99.0,
6020,0,657.250000,86,55,100.0,
6063,0,657.250000,86,55,100.0,
6093,0,657.250000,86,55,99.0,
6094,0,657.250000,86,55,99.0,
6130,0,656.750000,86,55,99.0,
6161,0,657.750000,86,55,100.0,
6193,0,663.000000,86,55,99.0,
6223,0,663.000000,86,55,99.0,
6244,0,683.000000,86,55,100.0,
6274,0,721.500000,86,55,99.0,
6304,0,721.500000,86,55,99.0,
6323,0,721.500000,86,55,99.0,
6324,0,772.750000,86,55,99.0,
6344,0,813.750000,86,55,99.0,
6374,0,813.750000,86,55,99.0,
6394,0,844.250000,86,55,99.0,
6420,0,866.750000,86,55,99.0,
6421,0,866.750000,86,55,99.0,
6444,0,866.750000,86,55,99.0,
6474,0,881.500000,86,55,99.0,
6505,0,886.500000,86,55,99.0,
6534,0,888.750000,86,55,99.0,
6564,0,892.750000,86,55,99.0,
6594,0,897.000000,86,55,99.0,
6613,0,897.000000,86,55,99.0,
6614,0,896.750000,86,55,99.0,
6644,0,896.750000,86,55,99.0,
6664,0,894.250000,86,55,99.0,
6694,0,893.000000,86,55,99.0,
6714,0,898.250000,86,55,99.0,
6744,0,898.250000,86,55,99.0,
6773,0,898.250000,86,55,99.0,
6774,0,899.250000,86,55,99.0,
6794,0,903.250000,86,55,99.0,
6814,0,909.500000,86,55,99.0,
6844,0,909.500000,86,55,99.0,
6864,0,920.000000,86,55,99.0,
6894,0,926.250000,86,55,99.0,
6930,0,936.500000,86,55,99.0,
6960,0,944.750000,86,55,99.0,
6984,0,952.250000,86,55,99.0,
7014,0,954.250000,86,55,99.0,
7043,0,954.250000,86,55,99.0,
7044,0,956.000000,86,55,99.0,
7074,0,956.000000,86,55,99.0,
7104,0,953.000000,86,55,99.0,
7130,0,950.500000,86,55,99.0,
7160,0,950.750000,86,55,99.0,
7190,0,953.750000,86,55,99.0,
7214,0,955.250000,86,55,99.0,
7243,0,955.250000,86,55,99.0,
7244,0,957.000000,86,55,99.0,
7274,0,959.250000,86,55,99.0,
7304,0,967.250000,86,55,99.0,
7330,0,977.000000,86,55,99.0,
7360,0,990.250000,86,55,99.0,
7390,0,999.250000,86,55,99.0,
7413,0,999.250000,86,55,99.0,
7414,0,1005.750000,86,55,99.0,
7444,0,1005.750000,86,55,99.0,
7463,0,1008.750000,86,55,99.0,
7464,0,1008.750000,86,55,99.0,
7490,0,1013.000000,86,55,99.0,
7514,0,1015.500000,86,55,99.0,
7544,0,1018.500000,86,55,99.0,
7573,0,1018.500000,86,55,99.0,
7574,0,1023.750000,86,55,99.0,
7594,0,1028.250000,86,55,99.0,
7630,0,1030.250000,86,55,99.0,
7660,0,1034.250000,86,55,99.0,
7683,0,1040.750000,86,55,99.0,
7714,0,1051.750000,86,55,99.0,
7744,0,1062.750000,86,55,99.0,
7774,0,1071.250000,86,55,99.0,
7800,0,1077.000000,86,55,99.0,
7830,0,1087.000000,86,55,99.0,
7860,0,1097.000000,86,55,100.0,
7893,0,1104.500000,86,55,100.0,
7914,0,1111.000000,86,55,100.0,
7944,0,1121.250000,86,55,100.0,
7974,0,1126.500000,86,55,100.0,
8004,0,1132.750000,86,55,100.0,
8034,0,1138.500000,86,55,100.0,
8064,0,1166.250000,86,55,100.0,
8100,0,1193.500000,86,55,100.0,
8131,0,1230.250000,86,55,100.0,
8161,0,1303.750000,86,55,100.0,
8184,0,1335.500000,86,55,100.0,
8214,0,1361.000000,86,55,100.0,
8243,0,1361.000000,86,55,100.0,
8244,0,1405.750000,86,55,100.0,
8264,0,1426.500000,86,55,100.0,
8301,0,1444.500000,86,55,100.0,
8331,2,1476.500000,86,55,101.0,
8367,2,1493.000000,86,55,101.0,
8401,2,1516.750000,86,55,101.0,
8402,2,1516.750000,86,55,101.0,
8432,2,1537.500000,86,55,102.0,
8464,2,1547.000000,86,55,102.0,
8502,2,1562.000000,86,55,103.0,
8503,2,1562.000000,86,55,103.0,
8544,2,1572.750000,86,55,104.0,
8574,2,1582.750000,86,55,104.0,
8604,2,1593.000000,86,55,105.0,
8634,3,1597.250000,86,55,106.0,
8677,3,1606.500000,86,55,107.0,
8704,3,1614.500000,86,55,108.0,
8724,3,1625.000000,86,55,108.0,
8754,3,1628.250000,86,55,109.0,
8784,3,1633.000000,86,55,110.0,
8804,3,1637.750000,86,55,111.0,
8844,3,1641.750000,86,55,111.0,
8872,3,1648.500000,86,55,112.0,
8894,3,1659.000000,86,55,113.0,
8924,3,1665.000000,86,55,114.0,
8954,3,1669.750000,86,55,115.0,
8974,3,1674.500000,86,55,116.0,
8994,5,1682.250000,86,55,116.0,
9024,5,1686.250000,86,55,117.0,
9054,5,1693.750000,86,55,118.0,
9074,5,1698.000000,86,55,119.0,
9094,5,1701.750000,86,55,119.0,
9124,5,1708.500000,86,55,121.0,
9144,7,1710.500000,86,55,121.0,
9164,7,1714.500000,86,55,122.0,
9194,7,1720.250000,86,55,122.0,
9224,7,1723.000000,86,55,124.0,
9244,7,1731.750000,86,55,124.0,
9264,9,1734.000000,86,55,125.0,
9294,9,1736.500000,86,55,126.0,
9324,9,1744.250000,86,55,127.0,
9364,9,1753.500000,86,55,129.0,
9394,10,1766.250000,86,55,129.0,
9424,10,1776.250000,86,55,130.0,
9444,10,1788.250000,86,55,131.0,
9464,10,1792.000000,86,55,132.0,
9494,10,1797.000000,86,55,133.0,
9514,11,1810.750000,86,55,134.0,
9544,11,1815.750000,86,55,135.0,
9574,11,1824.500000,86,55,136.0,
9604,12,1836.000000,86,55,137.0,
9634,12,1844.500000,86,55,138.0,
9663,12,1844.500000,86,55,139.0,
9664,12,1852.000000,86,55,139.0,
9694,12,1856.000000,86,55,140.0,
9724,13,1869.750000,86,55,141.0,
9754,13,1880.250000,86,55,142.0,
9794,13,1895.000000,86,55,144.0,
9824,14,1907.500000,86,55,145.0,
9854,14,1919.500000,86,55,146.0,
9884,15,1928.750000,86,55,147.0,
9913,15,1938.500000,86,55,148.0,
9944,15,1945.250000,86,55,149.0,
9974,16,1951.500000,86,55,150.0,
9994,16,1966.000000,86,55,151.0,
10044,16,1982.750000,86,55,152.0,
10073,16,1982.750000,86,55,154.0,
10074,16,2007.250000,86,55,154.0,
10094,16,2027.250000,86,55,155.0,
10114,16,2035.750000,86,55,156.0,
10144,17,2054.000000,86,55,156.0,
10164,17,2062.500000,86,55,157.0,
10184,17,2076.750000,86,55,158.0,
10214,17,2086.000000,86,55,159.0,
10244,17,2108.250000,86,55,160.0,
10264,17,2118.000000,86,55,161.0,
10305,18,2133.000000,86,55,162.0,
10334,18,2153.000000,86,55,163.0,
10364,18,2169.250000,86,55,164.0,
10384,18,2179.750000,86,55,165.0,
10414,18,2192.250000,86,55,166.0,
10454,19,2211.000000,86,55,167.0,
10484,19,2223.750000,86,55,169.0,
10514,19,2232.750000,86,55,169.0,
10543,19,2243.000000,86,55,170.0,
10574,20,2255.500000,86,55,171.0,
10604,20,2259.500000,86,55,172.0,
10639,20,2269.750000,86,55,173.0,
10674,20,2282.500000,86,55,174.0,
10703,20,2282.500000,86,55,175.0,
10704,20,2296.500000,86,55,175.0,
10724,20,2312.000000,86,55,175.0,
10754,20,2316.250000,86,55,176.0,
10784,21,2319.250000,86,55,177.0,
10814,21,2318.000000,86,55,177.0,
10844,21,2319.500000,86,55,178.0,
10874,21,2314.250000,86,55,178.0,
10912,21,2294.000000,86,55,179.0,
10944,21,2241.750000,86,55,180.0,
10945,21,2241.750000,86,55,180.0,
10974,22,2204.500000,86,55,180.0,
10993,22,2204.500000,86,55,181.0,
10994,22,2169.000000,86,55,181.0,
11024,22,2127.500000,86,55,181.0,
11044,22,2090.750000,86,55,182.0,
11082,22,2072.250000,86,55,182.0,
11112,22,2018.500000,86,55,182.0,
